fiscal_year,year,month,scheme,interest_rate,units,note
2013-14,2013,November,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2013,December,Public Provident Fund,8.7,interest_rate in percentage,
2011-12,2012,January,Public Provident Fund,8.6,interest_rate in percentage,
2011-12,2012,February,Public Provident Fund,8.6,interest_rate in percentage,
2011-12,2012,March,Public Provident Fund,8.6,interest_rate in percentage,
2012-13,2012,April,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2012,May,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2012,June,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2012,July,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2012,August,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2012,September,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2012,October,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2012,November,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2012,December,Public Provident Fund,8.8,interest_rate in percentage,
2010-11,2011,January,Public Provident Fund,8,interest_rate in percentage,
2010-11,2011,February,Public Provident Fund,8,interest_rate in percentage,
2010-11,2011,March,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,April,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,May,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,June,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,July,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,August,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,September,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,October,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,November,Public Provident Fund,8,interest_rate in percentage,
2011-12,2011,December,Public Provident Fund,8.6,interest_rate in percentage,
2009-10,2010,January,Public Provident Fund,8,interest_rate in percentage,
2009-10,2010,February,Public Provident Fund,8,interest_rate in percentage,
2009-10,2010,March,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,April,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,May,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,June,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,July,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,August,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,September,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,October,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,November,Public Provident Fund,8,interest_rate in percentage,
2010-11,2010,December,Public Provident Fund,8,interest_rate in percentage,
2008-09,2009,January,Public Provident Fund,8,interest_rate in percentage,
2008-09,2009,February,Public Provident Fund,8,interest_rate in percentage,
2008-09,2009,March,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,April,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,May,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,June,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,July,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,August,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,September,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,October,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,November,Public Provident Fund,8,interest_rate in percentage,
2009-10,2009,December,Public Provident Fund,8,interest_rate in percentage,
2007-08,2008,January,Public Provident Fund,8,interest_rate in percentage,
2007-08,2008,February,Public Provident Fund,8,interest_rate in percentage,
2007-08,2008,March,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,April,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,May,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,June,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,July,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,August,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,September,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,October,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,November,Public Provident Fund,8,interest_rate in percentage,
2008-09,2008,December,Public Provident Fund,8,interest_rate in percentage,
2006-07,2007,January,Public Provident Fund,8,interest_rate in percentage,
